ID,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,SpriteURL
38,Ninetales,73,76,75,81,100,100,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,Jigglypuff,115,45,20,45,25,20,Normal,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,Wigglytuff,140,70,45,85,50,45,Normal,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,Zubat,40,45,35,30,40,55,Poison,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
42,Golbat,75,80,70,65,75,90,Poison,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,Oddish,45,50,55,75,65,30,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,Gloom,60,65,70,85,75,40,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,Vileplume,75,80,85,110,90,50,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,Paras,35,70,55,45,55,25,Bug,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,Parasect,60,95,80,60,80,30,Bug,Grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,Venonat,60,55,50,40,55,45,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,Venomoth,70,65,60,90,75,90,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,Diglett,10,55,25,35,45,95,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
51,Dugtrio,35,100,50,50,70,120,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
52,Meowth,40,45,35,40,40,90,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
53,Persian,65,70,60,65,65,115,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
54,Psyduck,50,52,48,65,50,55,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,Golduck,80,82,78,95,80,85,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,Mankey,40,80,35,35,45,70,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,Primeape,65,105,60,60,70,95,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,Growlithe,55,70,45,70,50,60,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
59,Arcanine,90,110,80,100,80,95,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
60,Poliwag,40,50,40,40,40,90,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,Poliwhirl,65,65,65,50,50,90,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,Poliwrath,90,95,95,70,90,70,Water,Fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,Abra,25,20,15,105,55,90,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,Kadabra,40,35,30,120,70,105,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,Alakazam,55,50,45,135,95,120,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
66,Machop,70,80,50,35,35,35,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,Machoke,80,100,70,50,60,45,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,Machamp,90,130,80,65,85,55,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,Bellsprout,50,75,35,70,30,40,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,Weepinbell,65,90,50,85,45,55,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,Victreebel,80,105,65,100,70,70,Grass,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
72,Tentacool,40,40,35,50,100,70,Water,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,Tentacruel,80,70,65,80,120,100,Water,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,Geodude,40,80,100,30,30,20,Rock,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
75,Graveler,55,95,115,45,45,35,Rock,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
76,Golem,80,120,130,55,65,45,Rock,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
77,Ponyta,50,85,55,65,65,90,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
78,Rapidash,65,100,70,80,80,105,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
79,Slowpoke,90,65,65,40,40,15,Water,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
80,Slowbro,95,75,110,100,80,30,Water,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
81,Magnemite,25,35,70,95,55,45,Electric,Steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
82,Magneton,50,60,95,120,70,70,Electric,Steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
83,Farfetchd,52,90,55,58,62,60,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
84,Doduo,35,85,45,35,35,75,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
85,Dodrio,60,110,70,60,60,110,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
86,Seel,65,45,55,45,70,45,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
87,Dewgong,90,70,80,70,95,70,Water,Ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
88,Grimer,80,80,50,40,50,25,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
89,Muk,105,105,75,65,100,50,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
90,Shellder,30,65,100,45,25,40,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
91,Cloyster,50,95,180,85,45,70,Water,Ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
92,Gastly,30,35,30,100,35,80,Ghost,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
93,Haunter,45,50,45,115,55,95,Ghost,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
94,Gengar,60,65,60,130,75,110,Ghost,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
95,Onix,35,45,160,30,45,70,Rock,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
96,Drowzee,60,48,45,43,90,42,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
97,Hypno,85,73,70,73,115,67,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
98,Krabby,30,105,90,25,25,50,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
99,Kingler,55,130,115,50,50,75,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
100,Voltorb,40,30,50,55,55,100,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
101,Electrode,60,50,70,80,80,150,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
102,Exeggcute,60,40,80,60,45,40,Grass,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
103,Exeggutor,95,95,85,125,75,55,Grass,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
104,Cubone,50,50,95,40,50,35,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
105,Marowak,60,80,110,50,80,45,Ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
106,Hitmonlee,50,120,53,35,110,87,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
107,Hitmonchan,50,105,79,35,110,76,Fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
108,Lickitung,90,55,75,60,75,30,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
109,Koffing,40,65,95,60,45,35,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
110,Weezing,65,90,120,85,70,60,Poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
111,Rhyhorn,80,85,95,30,30,25,Ground,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
112,Rhydon,105,130,120,45,45,40,Ground,Rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
113,Chansey,250,5,5,35,105,50,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
114,Tangela,65,55,115,100,40,60,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
115,Kangaskhan,105,95,80,40,80,90,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
116,Horsea,30,40,70,70,25,60,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
117,Seadra,55,65,95,95,45,85,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
118,Goldeen,45,67,60,35,50,63,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
119,Seaking,80,92,65,65,80,68,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
120,Staryu,30,45,55,70,55,85,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
121,Starmie,60,75,85,100,85,115,Water,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
122,Mr-mime,40,45,65,100,120,90,Psychic,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
123,Scyther,70,110,80,55,80,105,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
124,Jynx,65,50,35,115,95,95,Ice,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
125,Electabuzz,65,83,57,95,85,105,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
126,Magmar,65,95,57,100,85,93,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
127,Pinsir,65,125,100,55,70,85,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
128,Tauros,75,100,95,40,70,110,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
129,Magikarp,20,10,55,15,20,80,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
130,Gyarados,95,125,79,60,100,81,Water,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
131,Lapras,130,85,80,85,95,60,Water,Ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
132,Ditto,48,48,48,48,48,48,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
133,Eevee,55,55,50,45,65,55,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
134,Vaporeon,130,65,60,110,95,65,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
135,Jolteon,65,65,60,110,95,130,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
136,Flareon,65,130,60,95,110,65,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
137,Porygon,65,60,70,85,75,40,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
138,Omanyte,35,40,100,90,55,35,Rock,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
139,Omastar,70,60,125,115,70,55,Rock,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
140,Kabuto,30,80,90,55,45,55,Rock,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
141,Kabutops,60,115,105,65,70,80,Rock,Water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
142,Aerodactyl,80,105,65,60,75,130,Rock,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
143,Snorlax,160,110,65,65,110,30,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
144,Articuno,90,85,100,95,125,85,Ice,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
145,Zapdos,90,90,85,125,90,100,Electric,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
146,Moltres,90,100,90,125,85,90,Fire,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
147,Dratini,41,64,45,50,50,50,Dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
148,Dragonair,61,84,65,70,70,70,Dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
149,Dragonite,91,134,95,100,100,80,Dragon,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
150,Mewtwo,106,110,90,154,90,130,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
151,Mew,100,100,100,100,100,100,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
152,Chikorita,45,49,65,49,65,45,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
153,Bayleef,60,62,80,63,80,60,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
154,Meganium,80,82,100,83,100,80,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
155,Cyndaquil,39,52,43,60,50,65,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
156,Quilava,58,64,58,80,65,80,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
157,Typhlosion,78,84,78,109,85,100,Fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
158,Totodile,50,65,64,44,48,43,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
159,Croconaw,65,80,80,59,63,58,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
160,Feraligatr,85,105,100,79,83,78,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
161,Sentret,35,46,34,35,45,20,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
162,Furret,85,76,64,45,55,90,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
163,Hoothoot,60,30,30,36,56,50,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
164,Noctowl,100,50,50,86,96,70,Normal,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
165,Ledyba,40,20,30,40,80,55,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
166,Ledian,55,35,50,55,110,85,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
167,Spinarak,40,60,40,40,40,30,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
168,Ariados,70,90,70,60,70,40,Bug,Poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
169,Crobat,85,90,80,70,80,130,Poison,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
170,Chinchou,75,38,38,56,56,67,Water,Electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
171,Lanturn,125,58,58,76,76,67,Water,Electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
172,Pichu,20,40,15,35,35,60,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
173,Cleffa,50,25,28,45,55,15,Fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
174,Igglybuff,90,30,15,40,20,15,Normal,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
175,Togepi,35,20,65,40,65,20,Fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
176,Togetic,55,40,85,80,105,40,Fairy,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
177,Natu,40,50,45,70,45,70,Psychic,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
178,Xatu,65,75,70,95,70,95,Psychic,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
179,Mareep,55,40,40,65,45,35,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
180,Flaaffy,70,55,55,80,60,45,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
181,Ampharos,90,75,85,115,90,55,Electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
182,Bellossom,75,80,95,90,100,50,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
183,Marill,70,20,50,20,50,40,Water,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
184,Azumarill,100,50,80,60,80,50,Water,Fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
185,Sudowoodo,70,100,115,30,65,30,Rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
186,Politoed,90,75,75,90,100,70,Water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
187,Hoppip,35,35,40,35,55,50,Grass,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
188,Skiploom,55,45,50,45,65,80,Grass,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
189,Jumpluff,75,55,70,55,95,110,Grass,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
190,Aipom,55,70,55,40,55,85,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
191,Sunkern,30,30,30,30,30,30,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
192,Sunflora,75,75,55,105,85,30,Grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
193,Yanma,65,65,45,75,45,95,Bug,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
194,Wooper,55,45,45,25,25,15,Water,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
195,Quagsire,95,85,85,65,65,35,Water,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png
196,Espeon,65,65,60,130,95,110,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png
197,Umbreon,95,65,110,60,130,65,Dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png
198,Murkrow,60,85,42,85,42,91,Dark,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png
199,Slowking,95,75,80,100,110,30,Water,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png
200,Misdreavus,60,60,60,85,85,85,Ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png
201,Unown,48,72,48,72,48,48,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png
202,Wobbuffet,190,33,58,33,58,33,Psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png
203,Girafarig,70,80,65,90,65,85,Normal,Psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png
204,Pineco,50,65,90,35,35,15,Bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png
205,Forretress,75,90,140,60,60,40,Bug,Steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png
206,Dunsparce,100,70,70,65,65,45,Normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png
207,Gligar,65,75,105,35,65,85,Ground,Flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png
208,Steelix,75,85,200,55,65,30,Steel,Ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png
209,Snubbull,60,80,50,40,40,30,Fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png
210,Granbull,90,120,75,60,60,45,Fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png
